Wall time,Step,Value
1535356629.4097831,0,281.0492248535156
1535367669.9448307,1,nan
1535392841.0089679,0,135.7317352294922
1535411339.3962553,1,86.14543914794922
1535429840.562006,2,68.6343002319336
1535448367.3486679,3,58.282814025878906
1535466849.5931432,4,50.94174575805664
1535485339.3447828,5,45.268924713134766
1535503673.9659765,6,40.75784683227539
1535522632.4951456,7,36.857913970947266
1535541056.8251257,8,33.46684265136719
1535559393.7867467,9,30.625320434570312
1535577733.4862535,10,28.133501052856445
1535596207.2605891,11,25.856977462768555
1535614711.3967288,12,23.864530563354492
1535633150.0664682,13,22.156038284301758
1535651642.721266,14,20.493846893310547
1535669981.8495667,15,19.046499252319336
1535688490.8492198,16,17.759445190429688
1535707046.4323702,17,16.609312057495117
1535725578.245981,18,15.577768325805664
1535744108.5763109,19,14.630791664123535
1535762818.2064774,20,13.798535346984863
1535781333.3372204,21,13.033759117126465
1535799684.467558,22,12.35673713684082
1535818204.7731612,23,11.646713256835938
1535837064.4837284,24,11.063568115234375
1535857510.0492446,25,10.527904510498047
1535877542.717213,26,10.077752113342285
1535897097.56562,27,9.639774322509766
1535915818.7761793,28,9.209131240844727
1535934406.5848792,29,8.812355995178223
